1240,4,same,up,down
250.35,249.73,250.44,249.63,1
250.05,249.88,250.49,248.87,2
249.08,249.42,249.7,248.805,2
248.93,249.15,249.5532,248.08,1
249.44,249.05,249.63,249.02,2
249.39,249.88,249.98,249.185,2
250.06,250.07,250.19,248.92,2
249.97,250,250.07,249.6,1
249.72,249.61,250.12,249.28,1
249.19,248.69,249.29,248.57,1
250.09,249.8,250.32,249.6,1
250.17,249.72,250.21,249.59,1
250.05,249.63,250.09,249.42,1
249.21,248.04,249.3,248.02,1
246.58,246.54,247.11,246.3,2
246.87,247.25,247.27,246.4,1
246.9,246.84,247.28,246.23,2
246.06,247.26,247.52,244.95,2
247.84,247.92,248.33,247.67,1
247.49,246.72,247.77,246.0473,1
246.01,244.83,246.32,244.62,1
244.85,243.06,245.15,242.93,2
244.57,245.17,245.2,244.09,2
244.56,244.9,245.61,244.39,2
243.99,245,245.18,243.75,1
244.56,244.33,245.05,244.16,1
245.44,243.57,245.62,243.55,1
242.9,242.64,243.2,241.83,2
242.71,242.9,244.189,242.2,2
243.09,246.24,246.6,243.09,2
246.94,247.11,247.57,246.45,2
246.51,246.98,247,246.16,1
246.54,245.59,246.79,245.55,1
244.12,244.02,244.8,243.75,2
243.76,246.29,246.44,243.7,1
247.25,246.47,247.31,246.06,2
247.26,247.51,248.91,246.83,1
247.87,247.49,247.87,247.37,2
247.41,247.52,247.79,246.97,2
246.96,247.31,247.34,246.64,2
247.44,247.47,247.6,246.37,2
247.32,247.46,247.5,246.716,2
246.77,247.37,247.48,246.53,1
246.91,246.65,247.06,246.13,2
247.2,247.96,248,245.68,2
247.43,247.75,247.79,247.13,2
247.42,247.68,247.8,247.16,1
246.82,246.79,246.98,246.28,1
246.88,246.44,246.91,246.18,2
247.1,247.28,247.42,246.47,1
246.99,246.02,247,246.01,1
245.66,245.06,245.72,244.67,1
245.53,245.47,245.91,245.33,1
245.56,244.43,245.97,244.31,1
244.42,244.02,244.55,243.76,1
244.01,243.3,244.2,243.3,1
242.19,242.16,242.55,240.85,1
242.37,241.95,242.8,241.76,1
242.11,241.21,242.28,240.5645,2
240.55,241.89,242.03,240.34,1
242.77,242.63,243.01,241.7,2
242.21,242.88,243.38,242.21,2
241.8,242.28,242.71,241.575,2
241.35,243.66,243.72,239.955,1
243.49,242.5,243.715,242.23,2
241.33,243.04,243.38,241.31,2
243.29,243.9,244.38,243.045,1
243.13,242.91,243.51,242.47,2
242.84,242.96,243.53,242.64,2
242.95,243.42,243.59,242.41,2
243.01,244.25,244.26,242.99,1
244.66,243.59,244.73,243.48,2
242.64,242.77,242.83,241.6337,1
243.77,242.68,243.91,242.36,2
244.24,244.86,244.87,243.29,1
244.55,243.98,244.61,243.5799,1
243.36,243.13,243.42,242.38,2
243.41,244.09,245.01,241.95,1
243.78,243.77,244.33,243.17,1
243.66,243.6,243.92,242.83,2
243.21,243.34,243.98,243.12,1
243.99,243.97,244.3,243.76,1
244.17,243.42,244.35,243.08,1
243.36,241.97,243.38,241.64,2
241.44,241.84,241.88,240.64,1
241.5,241.34,241.79,241.16,1
241.71,241.54,241.9,241.45,1
241.76,241.2,242.08,240.96,1
240.61,240.32,240.73,239.93,1
240.05,239.95,240.24,239.51,1
239.52,238.9,239.71,238.82,1
238.31,237.33,239.08,237.27,1
236.77,235.73,237.75,235.43,2
235.82,238.1,238.64,235.75,2
240.08,240.64,240.67,239.63,1
240.3,239.47,240.44,239.45,2
238.98,239.09,239.4273,238.67,1
239.38,239.35,239.57,238.13,1
239.87,239.39,239.87,239.15,2
239.44,239.96,240.19,239.04,2
239.66,239.75,239.92,239.17,1
239.7,239.19,239.72,238.68,2
238.76,238.83,238.9225,237.78,1
238.48,238.29,238.8775,237.7,2
238.77,238.84,238.98,238.3,0
238.68,238.68,239.17,238.195,2
238.08,238.9,238.93,237.93,2
238.6,238.77,238.95,237.98,2
238.4,238.51,239.53,238.35,1
238.55,237.91,238.95,237.81,2
237.17,237.18,237.41,234.5628,2
234.59,235.25,235.31,234.13,1
235.34,234.15,235.845,233.78,2
233.44,234.52,234.95,233.18,1
233.87,233.72,234.49,233.08,1
234.57,233.11,234.57,232.88,2
232.51,233.64,234.49,232.51,2
234.03,234.74,234.96,233.77,1
235.06,234.9,235.18,233.34,2
235.34,235.36,236.255,234.73,1
235.2,235.15,236,234.64,1
235.44,234.94,236.04,234.425,2
234.78,236.26,237.39,234.54,1
235.48,235,235.58,234.555,2
235.33,235.8,236.03,233.91,2
235.74,235.9,236.51,235.68,1
236.29,235.47,236.52,235.27,1
235.54,234.99,235.81,234.725,1
235.32,233.27,235.81,233.14,1
233.62,231.93,233.92,231.61,2
233.86,234.38,235.04,232.96,1
234.03,234,235.34,233.6,1
234.28,233.77,234.61,233.05,2
233.73,237.47,237.61,233.58,2
236.77,237.03,237.36,236.32,2
237.03,237.75,237.97,237.03,2
238.48,239.11,239.2,238.1,1
238.95,237.56,239.44,237.29,2
236.9,237.18,237.24,236.19,1
237.81,237.62,237.86,237.24,2
237.69,237.97,238.02,236.59,1
236.86,236.7,237.24,235.74,2
236.56,237.34,237.64,236.4,2
237,237.36,237.77,236.76,1
237.71,237.5,238.12,237.01,1
238.42,238.17,238.61,237.73,2
238.27,239.56,239.57,238.21,1
239.78,238.39,240.32,238.37,2
236.47,236.67,236.95,236.015,1
237.11,236.64,237.31,236.35,1
236.74,235.46,236.7932,235.41,2
236.44,236.88,236.9,235.56,1
236.28,236.02,236.54,235.83,1
236.49,235.52,236.69,235.51,1
235.09,233.95,235.09,233.93,2
234.72,234.96,235.155,233.85,1
234.92,233.45,235.14,233.39,1
233.7,232.56,233.71,232.16,1
232.77,232.08,233.07,232.05,1
231.51,231,231.77,230.6216,1
230.6,229.56,230.95,229.52,1
229.24,228.61,229.39,228.31,2
228.94,229.38,229.6556,228.72,1
228.93,228.87,229.326,228.54,1
229.34,228.82,229.55,228.46,1
227.77,227.2,228.1,226.82,2
227.62,228.255,228.59,226.94,1
