1240,same,up,down
270.4,271.1,273.05,2
270.05,271.9,274.72,2
271.4,272.03,273.67,1
273.11,272.32,275.32,1
273.03,271.57,273.04,1
269.59,264.31,270,1
266,263.97,266.62,1
265.34,263.83,267.01,1
261.5,260.8,263.61,2
257.63,268.01,268.17,2
267.67,268.5,272.36,1
269.13,259.94,269.7,2
263.93,273.45,275.85,2
275.45,280.08,280.23,1
281.58,281.07,283.06,2
281.9,282.73,283.3,2
281.76,282.6,284.736,2
284.68,285.93,286.43,1
286.58,284.25,286.6285,2
283.3,284.16,284.27,2
283.18,284.02,284.7,1
283.29,282.74,283.62,1
282.69,280.17,282.69,1
280.41,279.8,280.41,2
279.14,279.48,279.96,1
279.61,278.03,280.05,2
276.97,279.35,280.09,1
277.92,276.42,278.11,1
276.12,274.75,276.12,1
274.12,273.68,274.42,1
274.54,274.4,275.25,1
273.92,273.31,274.1,1
273.42,272.51,273.56,1
271.61,271.2,272.16,1
270.47,268.96,270.64,1
268.77,267.84,268.81,2
266.86,268.53,268.55,2
267.87,267.89,267.92,2
267.32,267.38,267.73,1
267.19,267.05,267.4377,2
267.51,267.6,267.635,2
267.58,267.74,268.385,2
267.03,268.27,268.33,2
267.17,268.48,268.53,1
268.2,268.1,268.6,1
266.51,265.45,267.04,2
265.66,267.09,267.22,2
266.75,267.06,267.56,1
266.78,266.57,267.32,1
266.31,265.58,266.38,1
265.51,264.99,265.52,1
264.07,263.09,264.43,1
263.24,262.87,263.73,2
263.19,264.43,265.15,2
264.14,266.31,266.8,2
264.46,264.76,265.31,1
265.01,263.76,266.05,2
262.71,263.02,263.63,1
262.87,260.76,262.9,2
260.23,260.41,260.75,1
260.36,260.32,260.48,2
259.76,260,260.15,1
259.99,259.18,260.2,1
258.3,258.14,258.525,2
257.86,258.22,258.5882,1
258.62,257.52,259.04,2
256.44,256.62,257.22,1
257.73,257.41,257.85,1
258.33,257.31,258.59,1
258.09,257.73,258.2926,1
258.17,257.73,258.39,1
259.11,258.47,259.22,2
258.67,258.97,259.35,1
258.85,258.3,259,1
258.45,257.77,258.5,1
257.59,257.41,257.75,2
257.49,258.04,258.43,2
257.15,257.18,257.44,2
256.75,257.07,257.6,1
257.71,256.47,257.89,2
255.62,255.99,256.3,2
255.29,256.18,256.31,2
256.56,256.6,256.83,2
256.11,257.48,257.51,1
257.11,256.7,257.14,1
255.79,254.83,255.83,2
255.72,255.9,255.95,1
255.47,255.23,255.52,1
255.29,255.21,255.51,2
254.95,255.14,255.27,2
254.64,254.66,255.06,1
255.02,254.51,255.02,1
254.62,254.6,255.05,2
253.95,254.63,254.7,1
254.37,254.15,254.7008,1
254.66,253.54,254.68,1
253.16,252.69,253.44,1
252.86,252.46,252.89,1
252.32,251.49,252.32,1
251.23,250.34,251.32,1
250.35,249.73,250.44,1
250.05,249.88,250.49,2
249.08,249.42,249.7,2
248.93,249.15,249.5532,1
249.44,249.05,249.63,2
249.39,249.88,249.98,2
250.06,250.07,250.19,2
249.97,250,250.07,1
249.72,249.61,250.12,1
249.19,248.69,249.29,1
250.09,249.8,250.32,1
250.17,249.72,250.21,1
250.05,249.63,250.09,1
249.21,248.04,249.3,1
246.58,246.54,247.11,2
246.87,247.25,247.27,1
246.9,246.84,247.28,2
246.06,247.26,247.52,2
247.84,247.92,248.33,1
247.49,246.72,247.77,1
246.01,244.83,246.32,1
244.85,243.06,245.15,2
244.57,245.17,245.2,2
244.56,244.9,245.61,2
243.99,245,245.18,1
244.56,244.33,245.05,1
245.44,243.57,245.62,1
242.9,242.64,243.2,2
242.71,242.9,244.189,2
243.09,246.24,246.6,2
246.94,247.11,247.57,2
246.51,246.98,247,1
246.54,245.59,246.79,1
244.12,244.02,244.8,2
243.76,246.29,246.44,1
247.25,246.47,247.31,2
247.26,247.51,248.91,1
247.87,247.49,247.87,2
247.41,247.52,247.79,2
246.96,247.31,247.34,2
247.44,247.47,247.6,2
247.32,247.46,247.5,2
246.77,247.37,247.48,1
246.91,246.65,247.06,2
247.2,247.96,248,2
247.43,247.75,247.79,2
247.42,247.68,247.8,1
246.82,246.79,246.98,1
246.88,246.44,246.91,2
247.1,247.28,247.42,1
246.99,246.02,247,1
245.66,245.06,245.72,1
245.53,245.47,245.91,1
245.56,244.43,245.97,1
244.42,244.02,244.55,1
244.01,243.3,244.2,1
242.19,242.16,242.55,1
242.37,241.95,242.8,1
242.11,241.21,242.28,2
240.55,241.89,242.03,1
242.77,242.63,243.01,2
242.21,242.88,243.38,2
241.8,242.28,242.71,2
241.35,243.66,243.72,1
243.49,242.5,243.715,2
241.33,243.04,243.38,2
243.29,243.9,244.38,1
243.13,242.91,243.51,2
242.84,242.96,243.53,2
242.95,243.42,243.59,2
243.01,244.25,244.26,1
244.66,243.59,244.73,2
242.64,242.77,242.83,1
243.77,242.68,243.91,2
244.24,244.86,244.87,1
244.55,243.98,244.61,1
243.36,243.13,243.42,2
243.41,244.09,245.01,1
243.78,243.77,244.33,1
243.66,243.6,243.92,2
243.21,243.34,243.98,1
243.99,243.97,244.3,1
244.17,243.42,244.35,1
243.36,241.97,243.38,2
241.44,241.84,241.88,1
241.5,241.34,241.79,1
241.71,241.54,241.9,1
241.76,241.2,242.08,1
240.61,240.32,240.73,1
240.05,239.95,240.24,1
239.52,238.9,239.71,1
238.31,237.33,239.08,1
236.77,235.73,237.75,2
235.82,238.1,238.64,2
240.08,240.64,240.67,1
240.3,239.47,240.44,2
238.98,239.09,239.4273,1
239.38,239.35,239.57,1
239.87,239.39,239.87,2
239.44,239.96,240.19,2
239.66,239.75,239.92,1
239.7,239.19,239.72,2
238.76,238.83,238.9225,1
238.48,238.29,238.8775,2
238.77,238.84,238.98,0
238.68,238.68,239.17,2
238.08,238.9,238.93,2
238.6,238.77,238.95,2
238.4,238.51,239.53,1
238.55,237.91,238.95,2
237.17,237.18,237.41,2
234.59,235.25,235.31,1
235.34,234.15,235.845,2
233.44,234.52,234.95,1
233.87,233.72,234.49,1
234.57,233.11,234.57,2
232.51,233.64,234.49,2
234.03,234.74,234.96,1
235.06,234.9,235.18,2
235.34,235.36,236.255,1
235.2,235.15,236,1
235.44,234.94,236.04,2
234.78,236.26,237.39,1
235.48,235,235.58,2
235.33,235.8,236.03,2
235.74,235.9,236.51,1
236.29,235.47,236.52,1
235.54,234.99,235.81,1
235.32,233.27,235.81,1
233.62,231.93,233.92,2
233.86,234.38,235.04,1
234.03,234,235.34,1
234.28,233.77,234.61,2
233.73,237.47,237.61,2
236.77,237.03,237.36,2
237.03,237.75,237.97,2
238.48,239.11,239.2,1
238.95,237.56,239.44,2
236.9,237.18,237.24,1
237.81,237.62,237.86,2
237.69,237.97,238.02,1
236.86,236.7,237.24,2
236.56,237.34,237.64,2
237,237.36,237.77,1
237.71,237.5,238.12,1
238.42,238.17,238.61,2
238.27,239.56,239.57,1
239.78,238.39,240.32,2
236.47,236.67,236.95,1
237.11,236.64,237.31,1
236.74,235.46,236.7932,2
236.44,236.88,236.9,1
236.28,236.02,236.54,1
236.49,235.52,236.69,1
235.09,233.95,235.09,2
234.72,234.96,235.155,1
234.92,233.45,235.14,1
233.7,232.56,233.71,1
232.77,232.08,233.07,1
231.51,231,231.77,1
230.6,229.56,230.95,1
229.24,228.61,229.39,2
228.94,229.38,229.6556,1
228.93,228.87,229.326,1
229.34,228.82,229.55,1
227.77,227.2,228.1,2
227.62,228.255,228.59,1
227.53,226.98,227.6,2
227.55,228.17,228.2,2
228.97,229.42,229.59,2
229.33,229.4,229.71,1
229.57,228.7,229.57,1
227.6,226.4,228.08,2
226.15,226.35,226.805,1
226.74,226.7,227.31,2
225.91,226.84,227,1
226.75,226.535,226.8,2
226.25,226.31,226.78,1
227.05,226.73,227.4,1
226.53,226.5,226.75,1
227.1,226.36,227.1,2
226.46,226.48,227.45,2
226.46,226.91,227.0701,1
227.21,226.53,227.75,1
226.4,226.27,226.58,1
226.58,225.62,226.75,1
225.24,225.04,225.83,2
223.53,224.73,224.83,2
224.35,224.48,224.89,2
224.4,226.57,226.59,1
226.27,226.02,226.73,1
225.71,225.43,225.72,2
225.38,225.6,225.74,2
225.77,226.25,226.45,1
226.4,226.15,226.57,1
225.53,225.25,226.02,2
225.04,226.01,226.08,1
226.81,226.16,227.81,2
225.88,227.41,228.23,1
227.76,227.02,228.34,2
226.25,226.4,226.96,1
226.51,225.41,226.53,1
225.15,224.57,225.7,1
224.6,221.52,224.67,1
221.7,221.22,221.7441,1
221,220.65,221.4,1
219.68,219.67,220.25,2
219.57,220.73,220.73,2
220.38,221.63,221.82,1
220.91,220.52,221.44,2
220.48,221.16,221.48,1
221.52,221.1,221.56,1
220.7,219.98,220.76,1
220.58,220.51,220.79,1
220.15,219.17,220.18,2
218.5,219.07,219.27,1
218.99,218.05,219.06,1
217.87,217.56,218.14,1
218.28,217.04,218.28,2
216.59,217.03,217.27,1
216.42,216.08,216.7,2
216.92,217.3,218.31,1
216.3792,212.37,217.1,1
214.11,212.69,214.77,1
213.15,211.45,213.19,2
208.55,208.91,209.89,2
208.78,209.99,210.24,2
209.74,210.65,211.1,2
211.01,212.93,212.99,2
212.55,212.93,213.19,2
212.54,213.14,213.93,2
213.17,214.58,214.62,1
213.74,213.21,214.42,2
214.17,214.68,214.98,2
214.89,215,215.32,1
213.98,212.96,214.08,1
213.88,213.87,214.53,1
