2497,4,same,up,down
85.33,2229821,85.23,85.46,1
84.73,1972639,84.71,84.96,1
84.28,2433712,84.02,84.3,1
83.39,1004787,82.99,83.5934,1
83.27,1958485,83.33,83.89,2
83.36,2096668,83.29,83.94,1
82.67,3023144,82.93,83.31,2
83.1,2211598,83.02,83.4,1
82.49,2496901,82.4,82.69,1
81.73,2624995,81.66,81.99,1
80.92,5378185,81.11,81.605,2
82.36,4227663,82.63,82.7799,2
82.15,4933132,83.47,83.47,2
84.24,4447942,85.19,85.47,2
85.33,2095060,84.79,85.52,1
84.69,2416897,84.67,85.0599,1
84.1,1653451,84.49,84.81,2
84.58,4100020,83.22,84.72,1
83.29,2568502,84.58,84.63,2
84,2102144,84.1,84.72,2
84.86,3643580,85.15,85.16,2
84.83,2391430,84.346,84.9,1
83.79,2633716,82.99,83.8,1
83.01,2944710,83.99,84.11,2
84.2,2311817,84.72,84.99,2
84.61,3620021,84.45,84.66,1
84.27,2004896,85.18,85.648,2
85.41,1629962,85.16,85.77,1
85.06,2420793,85.2,85.32,2
85.64,2120234,86.03,86.418,2
85.09,1151538,84.66,85.1,1
85.2,2748329,84.49,85.37,1
85.36,3377933,86.28,87.09,2
86.21,1483135,86.14,86.48,1
86.07,1680805,86.01,86.389,1
86.08,1540183,85.57,86.09,1
85.21,2005933,85.53,85.76,2
85.56,2743535,85.06,85.795,1
85.19,1440016,84.4,85.249,1
84.32,1285270,84.19,84.44,1
84.3,1333185,84.04,84.3,1
83.93,1495164,84.19,84.35,2
84.21,1734875,83.72,84.21,1
83.82,1967330,83.58,83.83,1
83.36,1879055,83.15,83.46,1
83.04,2382815,82.99,83.38,1
82.27,1616163,81.61,82.32,1
81.42,2159025,82.11,82.17,2
82.26,1740706,82.02,82.3,1
82.01,2118406,81.71,82.19,1
81.49,1150153,81.53,81.68,2
81.64,1120899,81.54,82.04,1
81.31,1039735,81.2,81.5,1
81.19,1957530,80.72,81.24,1
80.32,1237158,80.13,80.5,1
79.98,965448,79.49,80.01,1
79.22,1505732,79.85,79.909,2
79.72,2688365,80.39,80.42,2
80.93,1945486,80.36,80.98,1
79.75,3054326,81.45,81.45,2
81.74,1413431,81.76,81.92,2
82.03,1263183,81.73,82.28,1
81.72,2209439,80.88,81.8,1
80.68,1178268,80.6,80.99,1
80.45,1927447,80,80.47,1
79.96,1533466,79.26,80.01,1
80.24,1317801,80.01,80.33,1
79.89,2266022,80.82,80.88,2
80.77,2480868,80.86,81.0359,2
80.53,3097554,80.95,81.06,2
80.96,1897616,80.67,81.02,1
80.68,2494137,80.16,80.71,1
80.62,1322317,80.34,80.63,1
80.02,2905635,80.55,80.7,2
80.29,1648018,80.03,80.32,1
80.16,1418486,80.34,80.61,2
80.81,1475817,80.65,80.93,1
80.21,1522477,80.6,80.72,2
80.43,1983377,80.14,80.7699,1
80.87,1850611,80.9,80.9703,2
80.96,1328113,80.72,80.99,1
80.51,1021895,80.37,80.61,1
80.36,1505660,80.47,80.57,2
80.5,1610002,80.19,80.53,1
80.27,1984118,80.23,80.355,1
79.88,1563792,79.8,79.95,1
79.69,2044933,79.84,79.89,2
79.57,1854982,79.15,79.72,1
78.78,1417935,78.24,78.78,1
78.42,1884737,77.96,78.4954,1
78.24,1564386,78.31,78.81,2
78.31,1442467,77.27,78.53,1
77.36,2505679,77.19,77.44,1
76.87,1979344,78.68,78.78,2
78.31,1833141,77.92,78.31,1
77.56,2639268,77.89,77.89,2
78.09,2507458,79.11,79.13,2
79.14,1762924,78.71,79.16,1
78.59,1248363,78.75,78.83,2
78.68,1287478,78.35,78.75,1
78.58,1346478,78.68,78.79,2
78.47,1568551,78.34,78.601,1
78.34,2112681,78.36,78.39,2
78.38,4398967,78.03,78.38,1
77.91,2260093,78.05,78.1335,2
78.05,1739346,77.68,78.06,1
77.91,1609226,77.62,78.109,1
77.18,2457418,77.64,77.72,2
78,2549820,77.78,78.11,1
77.25,2611291,77.33,77.5,2
77.39,2074184,77.69,77.8299,2
77.7,2279301,77.34,77.769,1
77.44,1634073,77.6,77.61,2
77.51,2997058,77.38,77.53,1
77.08,5386731,76.92,77.44,1
76.99,2294763,76.93,77.08,1
