2497,,same,up,down
142.85,188127,143.83,143.85,2
143.84,146838.3,143.95,144.19,2
143.51,196202.6,142.75,143.62,1
143.99,160571.9,143.3,144.06,1
144.15,332839.8,143.85,144.33,1
144.29,180968,144.4,144.57,2
143.88,140204.7,144.54,144.6552,2
144.42,158128.5,144.4,144.61,1
144.12,166456.9,144,144.47,1
143.91,108422.2,143.27,143.94,1
143.42,166346,143.81,144,2
143.63,301106.2,142.75,143.63,1
142.37,295216.4,142.26,142.52,1
142.16,159202.6,141.9,142.2598,1
141.5,185776.1,140.93,141.65,1
140.04,170089.8,140.88,140.95,2
141.01,158705.3,139.97,141.305,1
139.21,269439.1,139.8,140.16,2
140.6,126403.1,140.6,140.905,0
140.87,140444.1,140.93,141.06,2
141.1,143167.2,140.09,141.1,1
140.73,121298.9,141.56,141.66,2
141.25,129995.9,141.06,141.5299,1
140.2,91024.8,140.36,140.51,2
140.51,165853.9,140.38,141.04,1
140.47,134595.9,139.85,140.76,1
139.79,227974.4,139.95,140.11,2
140.64,139689.4,140.94,141.3,2
140.57,119916.3,140.41,140.87,1
140.29,181030.8,139.51,140.54,1
139.08,145059.2,138.2,139.27,1
137.78,135714.8,137.59,138.01,1
137.73,144801.7,137.65,138.31,1
137.13,237905.7,134.97,137.56,1
135.38,263801.7,135.19,135.8036,1
135.75,166156.3,136.46,136.97,2
136.54,176274.2,136.04,136.6,1
136.33,227675,137.69,137.99,2
137.33,113387.4,137.54,137.74,2
137.24,128458.4,136.52,137.68,1
135.95,227335.5,135.77,136.25,1
135.8,305357.6,138.1,138.19,2
137.45,203412.8,137.78,138.16,2
137.5,166962,138.56,138.67,2
138.6,400395.2,138.98,139.179,2
139.36,155448.9,139.54,139.85,2
139.17,221871.4,138.73,139.53,1
137.72,288953.9,137.54,138.15,1
136.58,219259.7,137.72,137.75,2
136.97,185828.3,136.73,137.53,1
135.87,206308.4,135.67,136.8283,1
136.5,215443.3,136,136.9704,1
134.32,223938.3,134.72,136.3,2
133.87,494261.9,135.73,136.54,2
136.74,268154,136.65,137.23,1
135.79,292817.5,132.19,136.1,1
134.28,373734.2,133.35,134.54,1
132.63,570382,135.29,135.57,2
135.72,235038.9,134.49,136.59,1
